model,kappa,accuracy,recall,precision,f1,specificity,roc
vgg16,0.583438952260245,0.7068965517241379,0.7068965517241379,0.7021017689842382,0.7035484000160198,0.8973375703182033,0.7621782912938535
densenet201,0.8777274164646358,0.9137931034482759,0.9137931034482759,0.9169706201239777,0.9124571796614008,0.9703561328340328,0.9301634194925537
inception_v3,0.8379714193617707,0.8879310344827587,0.8879310344827587,0.8952293121405374,0.8829632497303874,0.9475845067274988,0.8934662265908567
xception,0.8516307823491793,0.896551724137931,0.896551724137931,0.899265751739515,0.8927435712883597,0.959144008700659,0.9038012505443984
inception_resnet_v2,0.8514090520922288,0.896551724137931,0.896551724137931,0.9026253918495297,0.8955722569531517,0.9517467484266864,0.9094871699332288
NASNet,0.8173611840033589,0.8706896551724138,0.8706896551724138,0.8722776769509982,0.8713553454932765,0.9594521599596165,0.8984702586943263
resnet152v2,0.8397619806609287,0.8879310344827587,0.8879310344827587,0.8956745311554749,0.8804911619820343,0.9579687799884845,0.9011077436544629
vgg16,0.536400950529272,0.6810344827586207,0.6810344827586207,0.6653252405978065,0.6626274179208556,0.8674086005768306,0.7303336104219007
densenet201,0.9388894742387525,0.9568965517241379,0.9568965517241379,0.9591723148468807,0.9571616264060483,0.9841424093148231,0.964816376291667
inception_v3,0.8912273390289643,0.9224137931034483,0.9224137931034483,0.9282628641333435,0.9235005617492007,0.9830712502289531,0.9418044437737356
xception,0.9023363502420543,0.9310344827586207,0.9310344827586207,0.9311994720343177,0.9310151798261193,0.9781730807150877,0.9420073233908821
inception_resnet_v2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NASNet,0.9142464885415567,0.9396551724137931,0.9396551724137931,0.9397862159145991,0.9384895392139626,0.9788407739099418,0.9452072924357661
resnet152v2,0.9391714735186156,0.9568965517241379,0.9568965517241379,0.9580195099818511,0.957095345953923,0.989708272023543,0.9649422050356435
vgg16,0.6964622147791502,0.7844827586206896,0.7844827586206896,0.7980968931118856,0.7878877820768516,0.9261966413444246,0.8392959497165324
densenet201,0.9632446134347274,0.9741379310344828,0.9741379310344828,0.9743295019157088,0.9740473184937071,0.9889485856234624,0.9773393964535881
inception_v3,0.9635067114093959,0.9741379310344828,0.9741379310344828,0.9758620689655173,0.9743586599303478,0.9954539057002111,0.9818075322234157
xception,0.9755067567567568,0.9827586206896551,0.9827586206896551,0.9834572909623619,0.9824305686488607,0.9933524904214559,0.983125
inception_resnet_v2,0.9877585479105108,0.9913793103448276,0.9913793103448276,0.9916003536693192,0.9913121361397222,0.9958001768346596,0.9914529914529915
NASNet,0.9271966527196653,0.9482758620689655,0.9482758620689655,0.9515527324057269,0.9488340281151973,0.9872230041441865,0.9653391392442144
resnet152v2,0.9632756437315323,0.9741379310344828,0.9741379310344828,0.9743589743589743,0.9740707568293774,0.9891526672561156,0.9778134712509713
vgg16,0.6874320504457491,0.782608695652174,0.782608695652174,0.7717782679854834,0.7755311355311355,0.9190471267279946,0.8144915612481263
densenet201,0.975284762518805,0.9826086956521739,0.9826086956521739,0.9828316610925306,0.9826151859135366,0.9942002097281599,0.9869072629051621
inception_v3,0.9506066788360357,0.9652173913043478,0.9652173913043478,0.9660549872122762,0.9649746276642132,0.988503490987963,0.9738274097517796
xception,0.9752128462118763,0.9826086956521739,0.9826086956521739,0.9828316610925306,0.9825334086203651,0.994303281259803,0.9819485559375265
inception_resnet_v2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NASNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet152v2,0.9752874180724186,0.9826086956521739,0.9826086956521739,0.9833431700439373,0.9826151859135366,0.994303281259803,0.9869201468466174
